Day	Time	Weather	LocationRank	Side of Town	Incident Rank	Nature	EMSSTAT
2024-00008705	3	11	0	4	NE	38	Mutual Aid	1
2024-00008707	3	11	0	191	NW	27	Animal at Large	0
2024-00002667	3	11	0	2	NW	2	Transfer/Interfacility	1
2024-00002092	3	11	51	66	NW	51	Back Pain	1
2024-00002663	3	11	51	66	NW	51	Back Pain	1
2024-00002093	3	11	0	66	E	45	Abdominal Pains/Problems	1
2024-00002664	3	11	0	66	E	45	Abdominal Pains/Problems	1
2024-00002673	3	12	0	1	N	2	Transfer/Interfacility	1
2024-00002094	3	12	0	66	SW	11	Breathing Problems	1
2024-00002665	3	12	0	66	SW	11	Breathing Problems	1
2024-00008709	3	12	0	66	SW	19	911 Call Nature Unknown	0
2024-00008713	3	12	0	11	NE	48	Stolen Vehicle	0
2024-00008711	3	12	0	191	NE	15	MVA Non Injury	0
2024-00008710	3	12	0	34	N	15	MVA Non Injury	0
2024-00002689	3	12	0	1	N	2	Transfer/Interfacility	1
2024-00008714	3	12	2	191	W	27	Fraud	0
2024-00008712	3	12	0	191	E	1	Traffic Stop	0
2024-00008720	3	12	0	191	S	32	Supplement Report	0
2024-00008715	3	12	0	191	N	14	Follow Up	0
2024-00008716	3	12	0	191	S	5	Contact a Subject	0
2024-00008717	3	12	0	191	NW	1	Traffic Stop	0
2024-00008718	3	12	0	191	S	1	Traffic Stop	0
2024-00008719	3	12	0	191	NW	1	Traffic Stop	0
2024-00002095	3	12	0	66	NE	3	Sick Person	1
2024-00002666	3	12	0	66	NE	3	Sick Person	1
2024-00008725	3	12	0	15	S	19	911 Call Nature Unknown	0
2024-00008726	3	12	51	191	NW	17	Harassment / Threats Report	0
2024-00008721	3	12	0	191	NW	1	Traffic Stop	0
2024-00008723	3	12	1	191	NE	8	Welfare Check	0
2024-00008722	3	12	0	191	NW	1	Traffic Stop	0
2024-00008724	3	12	0	191	NW	1	Traffic Stop	0
2024-00008731	3	12	3	66	SE	8	Welfare Check	0
2024-00008727	3	12	0	191	SW	16	Parking Problem	0
2024-00008728	3	12	0	66	N	73		0
2024-00008729	3	12	3	191	N	5	Contact a Subject	0
2024-00008733	3	12	1	191	N	8	Welfare Check	0
2024-00008730	3	12	0	34	NE	5	Contact a Subject	0
2024-00008732	3	13	1	191	SE	5	Contact a Subject	0
2024-00008736	3	13	0	66	E	8	Welfare Check	0
2024-00008741	3	13	63	66	W	8	Welfare Check	0
2024-00008734	3	13	0	191	NE	16	Parking Problem	0
2024-00008737	3	13	1	66	NE	51	Missing Person	0
2024-00008735	3	13	1	191	NW	1	Traffic Stop	0
2024-00008744	3	13	1	21	S	17	Harassment / Threats Report	0
2024-00002096	3	13	0	66	NE	19	Unconscious/Fainting	1
2024-00002668	3	13	0	66	NE	19	Unconscious/Fainting	1
2024-00008738	3	13	0	191	E	1	Traffic Stop	0
2024-00008740	3	13	1	191	SE	6	Suspicious	0
2024-00008739	3	13	1	66	S	42	Animal Trapped	0
2024-00002097	3	13	63	21	W	64	Preg/Child Birth/Miscarriage	1
2024-00002669	3	13	63	21	W	64	Preg/Child Birth/Miscarriage	1
2024-00002670	3	13	63	21	W	64	Preg/Child Birth/Miscarriage	1
2024-00002686	3	13	1	2	NW	2	Transfer/Interfacility	1
2024-00002672	3	13	1	1	N	2	Transfer/Interfacility	1
2024-00008742	3	13	1	191	SE	32	Motorist Assist	0
2024-00008743	3	13	1	191	N	11	Trespassing	0
2024-00008747	3	13	0	66	SE	64	Animal Complaint	0
2024-00002098	3	13	1	191	SE	25	Fire Alarm	0
2024-00008745	3	13	0	66	SE	8	Welfare Check	0
2024-00008751	3	13	1	191	E	82	Pick Up Items	0
2024-00008758	3	13	2	66	N	17	Harassment / Threats Report	0
2024-00002099	3	13	1	191	NW	25	Fire Alarm	0
2024-00008746	3	13	0	191	E	11	Trespassing	0
2024-00002671	3	13	1	5	N	2	Transfer/Interfacility	1
2024-00008748	3	13	0	191	E	82	COP DDACTS	0
2024-00008749	3	14	0	191	E	1	Traffic Stop	0
2024-00008768	3	14	1	191	SW	25	Animal Dead	0
2024-00008750	3	14	1	191	W	14	Follow Up	0
2024-00008752	3	14	1	191	NW	82	Prowler	0
2024-00008753	3	14	0	4	NE	4	Disturbance/Domestic	0
2024-00008754	3	14	0	191	E	11	Trespassing	0
2024-00008755	3	14	1	191	SW	1	Traffic Stop	0
2024-00008756	3	14	1	191	NW	4	Disturbance/Domestic	0
2024-00008757	3	14	0	191	E	16	Parking Problem	0
2024-00008761	3	14	3	191	N	7	Alarm	0
2024-00008763	3	14	1	15	SE	32	Supplement Report	0
2024-00008759	3	14	1	191	NE	1	Traffic Stop	0
2024-00008760	3	14	1	191	E	1	Traffic Stop	0
2024-00008762	3	14	3	191	N	14	Follow Up	0
2024-00008766	3	14	0	191	NE	15	MVA Non Injury	0
2024-00008764	3	14	1	191	NW	8	Welfare Check	0
2024-00008767	3	14	1	191	S	64	Debris in Roadway	0
2024-00008765	3	14	1	191	SW	1	Traffic Stop	0
2024-00008770	3	14	1	21	S	17	Harassment / Threats Report	0
2024-00008769	3	14	1	191	SW	1	Traffic Stop	0
2024-00002100	3	14	1	191	NW	51	Fire Odor Investigation	0
2024-00008771	3	15	1	66	N	17	Harassment / Threats Report	0
2024-00002701	3	15	1	1	N	2	Transfer/Interfacility	1
2024-00008773	3	15	0	191	SW	1	Traffic Stop	0
2024-00008774	3	15	1	191	W	1	Traffic Stop	0
2024-00008775	3	15	1	191	SW	1	Traffic Stop	0
2024-00008776	3	15	55	191	W	1	Traffic Stop	0
2024-00002674	3	15	1	11	N	3	Sick Person	1
2024-00002675	3	15	1	2	NW	2	Transfer/Interfacility	1
2024-00008777	3	15	0	191	NE	5	Contact a Subject	0
2024-00008778	3	15	53	191	NW	51	COP Problem Solving	0
2024-00008779	3	15	1	191	SW	1	Traffic Stop	0
2024-00008781	3	15	1	191	SW	1	Traffic Stop	0
2024-00002101	3	15	1	10	NW	23	Public Assist	0
2024-00002102	3	15	0	66	E	11	Breathing Problems	1
2024-00002676	3	15	0	66	E	11	Breathing Problems	1
2024-00008786	3	15	1	191	E	51	Animal Vicious	0
2024-00008783	3	15	3	191	N	15	MVA Non Injury	0
2024-00002103	3	15	0	4	NE	3	Sick Person	1
2024-00002677	3	15	0	4	NE	3	Sick Person	1
2024-00008784	3	15	0	4	NE	8	Welfare Check	1
2024-00008782	3	15	1	191	NW	1	Traffic Stop	0
2024-00002104	3	15	1	34	SE	3	Sick Person	1
2024-00002678	3	15	1	34	SE	3	Sick Person	1
2024-00008785	3	15	1	34	SE	8	Welfare Check	1
2024-00008788	3	15	0	191	E	11	Trespassing	0
2024-00002680	3	15	1	1	N	2	Transfer/Interfacility	1
2024-00008792	3	15	1	191	SE	5	Contact a Subject	0
2024-00008791	3	15	3	191	W	9	Larceny	0
2024-00008789	3	15	1	191	N	1	Traffic Stop	0
2024-00002684	3	16	1	5	N	2	Transfer/Interfacility	1
2024-00002681	3	16	1	1	N	2	Transfer/Interfacility	1
2024-00002705	3	16	1	2	NW	2	Transfer/Interfacility	1
2024-00008790	3	16	1	191	NW	5	Contact a Subject	0
2024-00008793	3	16	2	191	W	5	Contact a Subject	0
2024-00008798	3	16	1	191	S	32	Supplement Report	0
2024-00008794	3	16	0	191	NE	1	Traffic Stop	0
2024-00008795	3	16	1	191	SE	5	Contact a Subject	0
2024-00002682	3	16	1	3	SE	2	Transfer/Interfacility	1
2024-00008796	3	16	1	34	SW	48	Found Item	0
2024-00008797	3	16	1	15	S	1	Traffic Stop	0
2024-00008802	3	16	1	21	S	8	Welfare Check	0
2024-00002106	3	16	1	66	S	23	Chest Pain	1
2024-00002683	3	16	1	66	S	23	Chest Pain	1
2024-00008801	3	16	1	191	N	48	Found Item	0
2024-00008800	3	16	1	191	E	27	Animal at Large	0
2024-00002107	3	16	1	66	SE	10	Falls	1
2024-00002685	3	16	1	66	SE	10	Falls	1
2024-00008799	3	16	3	191	NW	1	Traffic Stop	0
2024-00002108	3	16	61	66	W	3	Sick Person	1
2024-00002687	3	16	61	66	W	3	Sick Person	1
2024-00008803	3	16	1	66	N	5	Contact a Subject	0
2024-00008804	3	16	0	191	E	14	Follow Up	0
2024-00008805	3	16	1	191	N	1	Traffic Stop	0
2024-00008808	3	16	1	191	NW	4	Disturbance/Domestic	0
2024-00008806	3	16	3	191	N	5	Contact a Subject	0
2024-00008807	3	16	1	66	N	42	COP Relationships	0
2024-00008819	3	16	1	191	W	9	Larceny	0
2024-00008812	3	16	1	66	W	38	Runaway or Lost Child	0
2024-00008811	3	16	2	66	N	64	Shots Heard	0
2024-00008810	3	16	0	191	SE	1	Traffic Stop	0
2024-00002109	3	16	1	66	E	38	Stroke	1
2024-00002688	3	16	1	66	E	38	Stroke	1
2024-00008817	3	16	1	191	N	9	Larceny	0
2024-00008813	3	16	3	191	N	1	Traffic Stop	0
2024-00002110	3	17	0	191	NE	25	Fire Alarm	0
2024-00008814	3	17	1	191	SE	1	Traffic Stop	0
2024-00008815	3	17	1	66	NE	1	Traffic Stop	0
2024-00008816	3	17	1	191	S	42	Vandalism	0
2024-00002111	3	17	1	34	S	27	MVA With Injuries	1
2024-00002690	3	17	1	34	S	27	MVA With Injuries	1
2024-00008818	3	17	1	34	S	27	MVA With Injuries	1
2024-00002691	3	17	1	15	NW	45	Abdominal Pains/Problems	1
2024-00008823	3	17	1	66	SE	5	Contact a Subject	0
2024-00008820	3	17	0	191	NE	5	Contact a Subject	0
2024-00008821	3	17	1	191	NW	1	Traffic Stop	0
2024-00008822	3	17	3	191	W	38	Noise Complaint	0
2024-00002692	3	17	1	21	S	64	Stand By EMS	1
2024-00008825	3	17	0	66	NE	4	Disturbance/Domestic	0
2024-00008824	3	17	1	191	NW	1	Traffic Stop	0
2024-00008826	3	17	1	191	N	8	Welfare Check	0
2024-00008834	3	17	1	191	NW	15	MVA Non Injury	0
2024-00002693	3	17	1	2	NW	2	Transfer/Interfacility	1
2024-00008827	3	17	2	11	NE	4	Disturbance/Domestic	0
2024-00008833	3	17	1	66	SE	5	Contact a Subject	0
2024-00008828	3	17	1	191	N	1	Traffic Stop	0
2024-00008829	3	17	0	191	E	11	Trespassing	0
2024-00002694	3	17	1	3	SE	2	Transfer/Interfacility	1
2024-00008832	3	17	1	191	N	13	Check Area	0
2024-00008839	3	17	1	66	NE	15	MVA Non Injury	0
2024-00008830	3	17	1	191	N	42	COP Relationships	0
2024-00002696	3	17	1	3	SE	2	Transfer/Interfacility	1
2024-00008831	3	17	1	191	W	1	Traffic Stop	0
2024-00008836	3	17	1	191	S	6	Suspicious	0
2024-00008837	3	17	0	191	NE	15	MVA Non Injury	0
2024-00002695	3	17	1	1	N	2	Transfer/Interfacility	1
2024-00008835	3	17	3	191	N	64	Debris in Roadway	0
2024-00008838	3	18	1	191	NW	64	Road Rage	0
2024-00008845	3	18	0	7	NE	5	Contact a Subject	0
2024-00002112	3	18	1	191	SE	82	Fire Grass	0
2024-00008858	3	18	1	191	SW	51	Missing Person	0
2024-00002114	3	18	0	7	NE	19	Allergies/Envenomations	1
2024-00002698	3	18	0	7	NE	19	Allergies/Envenomations	1
2024-00008844	3	18	0	7	NE	8	Welfare Check	1
2024-00002113	3	18	1	10	NW	23	Public Assist	0
2024-00008840	3	18	1	191	N	1	Traffic Stop	0
2024-00008841	3	18	1	66	SE	11	Trespassing	0
2024-00008842	3	18	1	191	SE	14	Follow Up	0
2024-00008850	3	18	3	191	N	6	Suspicious	0
2024-00008843	3	18	1	191	SE	1	Traffic Stop	0
2024-00002697	3	18	1	21	S	64	Stand By EMS	1
2024-00008846	3	18	1	191	N	32	Motorist Assist	0
2024-00008847	3	18	1	191	N	11	Trespassing	0
2024-00008851	3	19	1	191	NW	7	Alarm	0
2024-00008848	3	19	1	191	N	1	Traffic Stop	0
2024-00008849	3	19	1	66	N	11	Trespassing	0
2024-00002115	3	19	2	21	W	3	Sick Person	1
2024-00002699	3	19	2	21	W	3	Sick Person	1
2024-00008852	3	19	0	7	NE	5	Contact a Subject	0
2024-00002116	3	19	0	66	NE	19	Allergies/Envenomations	1
2024-00002700	3	19	0	66	NE	19	Allergies/Envenomations	1
2024-00008853	3	19	1	191	SE	4	Disturbance/Domestic	0
2024-00008854	3	19	3	191	W	14	Follow Up	0
2024-00008856	3	19	1	15	W	11	Trespassing	0
2024-00008855	3	19	1	191	SE	1	Traffic Stop	0
2024-00008861	3	19	1	191	W	11	Trespassing	0
2024-00002710	3	19	1	5	N	2	Transfer/Interfacility	1
2024-00002702	3	19	1	2	NW	2	Transfer/Interfacility	1
2024-00002117	3	19	1	66	NE	45	Fire Residential	1
2024-00002703	3	19	1	66	NE	45	Fire Residential	1
2024-00008857	3	19	0	34	NE	4	Disturbance/Domestic	0
2024-00008859	3	20	51	191	W	1	Traffic Stop	0
2024-00008860	3	20	0	191	NE	1	Traffic Stop	0
2024-00002118	3	20	1	21	S	19	Allergies/Envenomations	1
2024-00002704	3	20	1	21	S	19	Allergies/Envenomations	1
2024-00008889	3	20	3	66	N	32	Hit and Run	0
2024-00008862	3	20	1	191	N	1	Traffic Stop	0
2024-00008863	3	20	1	66	E	7	Alarm	0
2024-00008864	3	20	0	191	NE	4	Disturbance/Domestic	0
2024-00008865	3	20	1	191	E	1	Traffic Stop	0
2024-00008866	3	20	1	191	N	6	Suspicious	0
2024-00008868	3	20	0	191	NE	11	Trespassing	0
2024-00008867	3	20	1	191	SE	4	Disturbance/Domestic	0
2024-00002119	3	20	51	66	W	23	Chest Pain	1
2024-00002706	3	20	51	66	W	23	Chest Pain	1
2024-00002707	3	20	1	2	NW	2	Transfer/Interfacility	1
2024-00002708	3	20	1	5	N	2	Transfer/Interfacility	1
2024-00008869	3	20	1	191	E	38	Mutual Aid	0
2024-00002120	3	21	2	66	N	17	Hemorrhage/Lacerations	1
2024-00002709	3	21	2	66	N	17	Hemorrhage/Lacerations	1
2024-00008870	3	21	0	66	W	4	Disturbance/Domestic	0
2024-00002711	3	21	0	5	N	2	Transfer/Interfacility	1
2024-00008871	3	21	3	191	NW	17	Harassment / Threats Report	0
2024-00002712	3	21	0	5	N	2	Transfer/Interfacility	1
2024-00008872	3	21	0	34	NW	51	Pick Up Partner	0
2024-00008873	3	21	0	34	NW	51	Pick Up Partner	0
2024-00008874	3	21	0	191	W	7	Alarm	0
2024-00008876	3	22	2	66	SE	8	Welfare Check	0
2024-00008875	3	22	0	191	E	1	Traffic Stop	0
2024-00008877	3	22	1	191	SE	1	Traffic Stop	0
2024-00008878	3	22	1	191	SW	1	Traffic Stop	0
2024-00002121	3	22	1	10	NW	23	Public Assist	0
2024-00008879	3	22	1	191	NE	1	Traffic Stop	0
2024-00008887	3	22	1	15	S	27	Fraud	0
2024-00008880	3	22	1	1	N	14	Follow Up	0
2024-00008881	3	22	3	191	E	1	Traffic Stop	0
2024-00008882	3	22	1	191	N	4	Disturbance/Domestic	0
2024-00008883	3	22	0	11	NE	4	Disturbance/Domestic	0
2024-00002713	3	22	1	2	NW	2	Transfer/Interfacility	1
2024-00008884	3	22	0	191	E	11	Trespassing	0
2024-00008886	3	22	0	191	E	48	Drunk Driver	0
2024-00008885	3	22	0	191	NE	32	Motorist Assist	0
2024-00002714	3	22	1	1	N	2	Transfer/Interfacility	1
2024-00008888	3	22	1	191	SW	1	Traffic Stop	0
2024-00008890	3	23	0	191	E	5	Contact a Subject	0
2024-00008892	3	23	1	191	SW	5	Contact a Subject	0
2024-00008891	3	23	0	191	NE	1	Traffic Stop	0
2024-00008893	3	23	0	191	NE	1	Traffic Stop	0
2024-00008894	3	23	0	191	E	1	Traffic Stop	0
2024-00008895	3	23	1	191	NE	32	Motorist Assist	0
2024-00000010	3	23	0	191	E	3	Sick Person	0
2024-00008896	3	23	1	66	S	1	Traffic Stop	0
2024-00008897	3	23	0	191	E	1	Traffic Stop	0
2024-00008898	3	23	1	191	SE	6	Suspicious	0
2024-00002122	3	23	1	66	NE	19	Unconscious/Fainting	1
2024-00002715	3	23	1	66	NE	19	Unconscious/Fainting	1
